"","Local.time.in.Guelmim","T","P0","P","U","DD","Ff","ff10","WW","W.W.","c","VV","Td","Few clouds","Scattered clouds","Broken clouds","Overcast","cumulonimbus clouds","cumulus congestus of great vertical extent"
"850","2014-01-29 08:50:00",12,732.1,759,82,"Wind blowing from the north",5,NA,"","","Broken clouds (60-90%) 240 m, broken clouds (60-90%) 480 m","5.0",9,"0","0","480","0",0,0
"851","2014-01-29 09:00:00",12,732.1,759,82,"Wind blowing from the north",5,NA,"","","Broken clouds (60-90%) 240 m, broken clouds (60-90%) 480 m","5.0",9,"0","0","480","0",0,0
"852","2014-01-29 10:00:00",13,732.2,759,88,"Wind blowing from the north",5,NA,"Light drizzle","","Broken clouds (60-90%) 240 m, broken clouds (60-90%) 480 m","5.0",11,"0","0","480","0",0,0
"853","2014-01-29 10:55:00",14,732.3,759,88,"Wind blowing from the north",7,NA,"","Drizzle","Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 480 m","8.0",12,"0","300","480","0",0,0
"854","2014-01-29 11:00:00",14,732.3,759,88,"Wind blowing from the north",7,NA,"","Drizzle","Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 480 m","8.0",12,"0","300","480","0",0,0
"855","2014-01-29 12:00:00",14,732.3,759,82,"Wind blowing from the north-northwest",7,NA,"","","Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 480 m","6.0",11,"0","300","480","0",0,0
"856","2014-01-29 13:00:00",15,731.1,757.7,88,"Wind blowing from the north-northwest",8,NA,"","","Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 480 m","7.0",13,"0","300","480","0",0,0
"857","2014-01-29 14:00:00",14,730.3,756.9,94,"Wind blowing from the north-northwest",8,NA,"Light rain","","Broken clouds (60-90%) 240 m, broken clouds (60-90%) 480 m","3.0",13,"0","0","480","0",0,0
"858","2014-01-29 15:00:00",14,730.3,756.9,82,"Wind blowing from the north",11,17,"","Rain","Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 480 m","5.0",11,"0","240","480","0",0,0
"859","2014-01-29 16:00:00",14,730.3,756.9,72,"Wind blowing from the north",11,18,"","","Broken clouds (60-90%) 480 m","8.0",9,"0","0","480","0",0,0
"860","2014-01-29 17:00:00",14,730.3,756.9,67,"Wind blowing from the north",12,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",8,"0","0","480","0",0,0
"861","2014-01-30 06:00:00",11,733.5,760.5,72,"Wind blowing from the north-northeast",5,NA,"","","Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 480 m","8.0",6,"0","300","480","0",0,0
"862","2014-01-30 08:00:00",11,734.9,762,72,"Wind blowing from the north",4,NA,"","","Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m","8.0",6,"300","0","480","0",0,0
"863","2014-01-30 09:00:00",12,735,762,67,"Wind blowing from the north",8,NA,"","","Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m","10.0 and more",6,"300","0","480","0",0,0
"864","2014-01-30 10:00:00",13,735.9,762.8,67,"Wind blowing from the north",10,16,"","","Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m","10.0 and more",7,"300","0","480","0",0,0
"865","2014-01-30 11:00:00",13,736.6,763.5,63,"Wind blowing from the north-northeast",9,15,"","","Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m","10.0 and more",6,"300","0","480","0",0,0
"866","2014-01-30 12:00:00",13,736.6,763.5,63,"Wind blowing from the north",7,NA,"","","Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m","10.0 and more",6,"300","0","480","0",0,0
"867","2014-01-30 13:00:00",14,736,762.8,59,"Wind blowing from the north-northeast",7,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",6,"0","480","0","0",0,0
"868","2014-01-30 14:00:00",14,735.2,762,55,"Wind blowing from the north",7,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",5,"0","480","0","0",0,0
"869","2014-01-30 15:00:00",15,735.3,762,51,"Wind blowing from the north-northeast",10,15,"","","Scattered clouds (40-50%) 480 m","10.0 and more",5,"0","480","0","0",0,0
"870","2014-01-30 16:00:00",14,735.2,762,55,"Wind blowing from the north-northwest",8,15,"","","Scattered clouds (40-50%) 480 m","10.0 and more",5,"0","480","0","0",0,0
"871","2014-01-30 17:00:00",14,736,762.8,55,"Wind blowing from the north-east",3,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",5,"0","480","0","0",0,0
"872","2014-01-30 18:00:00",13,736.6,763.5,63,"Wind blowing from the north-northwest",5,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",6,"0","480","0","0",0,0
"873","2014-01-31 06:00:00",11,737.8,765,72,"Wind blowing from the north-east",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",6,"480","0","0","0",0,0
"874","2014-01-31 07:00:00",11,737.1,764.3,72,"Wind blowing from the north-northwest",3,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",6,"480","0","0","0",0,0
"875","2014-01-31 08:00:00",11,737.8,765,77,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",7,"480","0","0","0",0,0
"876","2014-01-31 09:00:00",12,738.7,765.8,72,"Wind blowing from the north",7,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",7,"0","480","0","0",0,0
"877","2014-01-31 10:00:00",13,738.8,765.8,67,"Wind blowing from the north",7,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",7,"0","480","0","0",0,0
"878","2014-01-31 11:00:00",15,739.7,766.6,55,"Wind blowing from the north",8,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",6,"0","480","0","0",0,0
"879","2014-01-31 12:00:00",15,739.7,766.6,55,"Wind blowing from the north",10,15,"","","Scattered clouds (40-50%) 480 m","10.0 and more",6,"0","480","0","0",0,0
"880","2014-01-31 13:00:00",15,739,765.8,55,"Wind blowing from the north",10,15,"","","Scattered clouds (40-50%) 480 m","8.0",6,"0","480","0","0",0,0
"881","2014-01-31 14:00:00",16,738.3,765,55,"Wind blowing from the north",9,15,"","","Scattered clouds (40-50%) 480 m","8.0",7,"0","480","0","0",0,0
"882","2014-01-31 15:00:00",15,738.2,765,63,"Wind blowing from the north-northeast",8,14,"","","Scattered clouds (40-50%) 480 m","10.0 and more",8,"0","480","0","0",0,0
"883","2014-01-31 16:00:00",15,738.2,765,63,"Wind blowing from the north",7,12,"","","Scattered clouds (40-50%) 480 m","10.0 and more",8,"0","480","0","0",0,0
"884","2014-01-31 17:00:00",15,739,765.8,63,"Wind blowing from the north",7,13,"","","Scattered clouds (40-50%) 480 m","10.0 and more",8,"0","480","0","0",0,0
"885","2014-01-31 18:00:00",14,738.9,765.8,67,"Wind blowing from the north-northwest",7,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",8,"0","480","0","0",0,0
"886","2014-02-01 06:00:00",12,738.7,765.8,82,"Wind blowing from the east-northeast",1,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"887","2014-02-01 07:00:00",12,738.7,765.8,82,"Wind blowing from the south",1,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"888","2014-02-01 08:00:00",11,738.6,765.8,82,"Wind blowing from the west",4,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"889","2014-02-01 09:00:00",13,739.5,766.6,77,"Wind blowing from the north-west",3,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",9,"0","480","0","0",0,0
"890","2014-02-01 10:00:00",15,739.7,766.6,68,"Wind blowing from the north-northwest",4,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",9,"0","480","0","0",0,0
"891","2014-02-01 11:00:00",16,739.8,766.6,68,"Wind blowing from the north",5,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",10,"0","480","0","0",0,0
"892","2014-02-01 12:00:00",16,739,765.8,68,"Wind blowing from the north-northwest",8,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"893","2014-02-01 13:00:00",17,738.4,765,64,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"894","2014-02-01 14:00:00",18,737.8,764.3,60,"Wind blowing from the north",7,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"895","2014-02-01 15:00:00",18,737.8,764.3,60,"Wind blowing from the north",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"896","2014-02-01 16:00:00",18,737,763.5,60,"Wind blowing from the north-northeast",4,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"897","2014-02-01 17:00:00",17,736.9,763.5,64,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"898","2014-02-01 18:00:00",15,737.5,764.3,72,"Wind blowing from the north",7,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",10,"0","480","0","0",0,0
"899","2014-02-02 06:00:00",13,735.9,762.8,82,"Wind blowing from the north-northwest",1,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",10,"0","0","480","0",0,0
"900","2014-02-02 08:00:00",13,736.6,763.5,82,"Wind blowing from the north-northwest",2,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",10,"0","0","480","0",0,0
"901","2014-02-02 09:00:00",15,736.7,763.5,72,"Wind blowing from the north",4,NA,"","","Broken clouds (60-90%) 480 m, scattered clouds (40-50%) 6000 m","10.0 and more",10,"0","6000","480","0",0,0
"902","2014-02-02 10:00:00",15,736.7,763.5,72,"Wind blowing from the north-northwest",5,NA,"","","Scattered clouds (40-50%) 480 m, scattered clouds (40-50%) 6000 m","10.0 and more",10,"0","6000","0","0",0,0
"903","2014-02-02 11:00:00",16,736.8,763.5,68,"Wind blowing from the north-northwest",6,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",10,"0","480","0","0",0,0
"904","2014-02-02 12:00:00",17,736.9,763.5,64,"Wind blowing from the north-west",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"905","2014-02-02 13:00:00",18,736.3,762.8,64,"Wind blowing from the north-northwest",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",11,"480","0","0","0",0,0
"906","2014-02-02 14:00:00",18,735.6,762,60,"Wind blowing from the north-west",8,NA,"","","Few clouds (10-30%) 480 m, scattered clouds (40-50%) 6000 m","10.0 and more",10,"480","6000","0","0",0,0
"907","2014-02-02 15:00:00",18,734.8,761.2,60,"Wind blowing from the north-northwest",7,NA,"","","Few clouds (10-30%) 480 m, scattered clouds (40-50%) 6000 m","10.0 and more",10,"480","6000","0","0",0,0
"908","2014-02-02 16:00:00",17,734.7,761.2,64,"Wind blowing from the north",7,NA,"","","Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m","10.0 and more",10,"480","0","6000","0",0,0
"909","2014-02-02 17:00:00",15,735.3,762,72,"Wind blowing from the north-northeast",7,12,"","","Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m","10.0 and more",10,"480","0","6000","0",0,0
"910","2014-02-02 18:00:00",15,736.7,763.5,68,"Wind blowing from the north",8,NA,"","","Few clouds (10-30%) 480 m, broken clouds (60-90%) 6000 m","10.0 and more",9,"480","0","6000","0",0,0
"911","2014-02-03 06:00:00",13,736.6,763.5,77,"Wind blowing from the north",4,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",9,"0","480","0","0",0,0
"912","2014-02-03 07:00:00",12,736.5,763.5,77,"Wind blowing from the north-northwest",4,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",8,"0","0","480","0",0,0
"913","2014-02-03 08:00:00",12,736.5,763.5,77,"Wind blowing from the north-northwest",3,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",8,"0","480","0","0",0,0
"914","2014-02-03 09:00:00",13,737.3,764.3,72,"Wind blowing from the north",4,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",8,"0","480","0","0",0,0
"915","2014-02-03 10:00:00",14,737.4,764.3,67,"Wind blowing from the north-west",3,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",8,"0","480","0","0",0,0
"916","2014-02-03 12:00:00",16,736.8,763.5,55,"Wind blowing from the north-northeast",3,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",7,"480","0","0","0",0,0
"917","2014-02-03 13:00:00",18,736.3,762.8,49,"Wind blowing from the west",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",7,"480","0","0","0",0,0
"918","2014-02-03 14:00:00",19,735.6,762,49,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"919","2014-02-03 15:00:00",17,735.5,762,56,"Wind blowing from the north",9,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"920","2014-02-03 16:00:00",17,735.5,762,52,"Wind blowing from the north",8,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",7,"480","0","0","0",0,0
"921","2014-02-03 17:00:00",17,735.5,762,56,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"922","2014-02-03 18:00:00",15,736.1,762.8,59,"Wind blowing from the north",7,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",7,"480","0","0","0",0,0
"923","2014-02-04 06:00:00",10,737,764.3,82,"Wind blowing from the south-southeast",2,NA,"","","No Significant Clouds","10.0 and more",7,"0","0","0","0",0,0
"924","2014-02-04 07:00:00",10,737,764.3,88,"Wind blowing from the south-west",2,NA,"","","No Significant Clouds","10.0 and more",8,"0","0","0","0",0,0
"925","2014-02-04 08:00:00",9,737.6,765,94,"Wind blowing from the south",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"926","2014-02-04 09:00:00",12,737.9,765,82,"Wind blowing from the west-southwest",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"927","2014-02-04 10:00:00",14,738.1,765,77,"Wind blowing from the west-southwest",3,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"928","2014-02-04 11:00:00",16,738.3,765,63,"Wind blowing from the north-west",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"929","2014-02-04 12:00:00",18,737.8,764.3,52,"Wind blowing from the north-northeast",1,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"930","2014-02-04 13:00:00",20,737.2,763.5,46,"Wind blowing from the west-southwest",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"931","2014-02-04 14:00:00",20,737.2,763.5,46,"Wind blowing from the north-west",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"932","2014-02-04 15:00:00",21,736.6,762.8,46,"Wind blowing from the north",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"933","2014-02-04 16:00:00",21,736.6,762.8,46,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"934","2014-02-04 17:00:00",19,737.1,763.5,52,"Wind blowing from the north",7,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"935","2014-02-04 18:00:00",16,737.6,764.3,59,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"936","2014-02-05 06:00:00",11,738.6,765.8,94,"Wind blowing from the south-southeast",1,NA,"Mist","","Overcast (100%) 180 m","3.0",10,"0","0","0","180",0,0
"937","2014-02-05 07:00:00",10,739.3,766.6,94,"Wind blowing from the east-southeast",2,NA,"Mist","","Overcast (100%) 180 m","4.0",9,"0","0","0","180",0,0
"938","2014-02-05 08:00:00",10,739.9,767.3,94,"Wind blowing from the east-northeast",1,NA,"Mist","","Overcast (100%) 180 m","4.0",9,"0","0","0","180",0,0
"939","2014-02-05 09:00:00",11,740,767.3,94,"Wind blowing from the south-southeast",1,NA,"Mist","","Overcast (100%) 180 m","4.0",10,"0","0","0","180",0,0
"940","2014-02-05 10:00:00",11,740,767.3,88,"Wind blowing from the south",3,NA,"Mist","","Overcast (100%) 180 m","4.0",9,"0","0","0","180",0,0
"941","2014-02-05 10:45:00",13,741,768.1,88,"Wind blowing from the south-west",2,NA,"","","Scattered clouds (40-50%) 180 m, scattered clouds (40-50%) 480 m","6.0",11,"0","480","0","0",0,0
"942","2014-02-05 11:00:00",13,741,768.1,77,"Wind blowing from the west-southwest",1,NA,"","","Scattered clouds (40-50%) 180 m, scattered clouds (40-50%) 480 m","6.0",9,"0","480","0","0",0,0
"943","2014-02-05 12:00:00",14,739.6,766.6,72,"Wind blowing from the north",1,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"944","2014-02-05 13:00:00",17,739.1,765.8,64,"Wind blowing from the west",1,NA,"","","No Significant Clouds","10.0 and more",10,"0","0","0","0",0,0
"945","2014-02-05 14:00:00",19,738.5,765,56,"Wind blowing from the west-southwest",2,NA,"","","No Significant Clouds","10.0 and more",10,"0","0","0","0",0,0
"946","2014-02-05 15:00:00",20,738,764.3,53,"Wind blowing from the north-east",2,NA,"","","No Significant Clouds","10.0 and more",10,"0","0","0","0",0,0
"947","2014-02-05 16:00:00",21,737.3,763.5,50,"Wind blowing from the west",3,NA,"","","No Significant Clouds","10.0 and more",10,"0","0","0","0",0,0
"948","2014-02-05 17:00:00",19,737.1,763.5,56,"Wind blowing from the west",3,NA,"","","No Significant Clouds","10.0 and more",10,"0","0","0","0",0,0
"949","2014-02-05 18:00:00",19,737.9,764.3,60,"Wind blowing from the west",3,NA,"","","No Significant Clouds","10.0 and more",11,"0","0","0","0",0,0
"950","2014-02-06 06:00:00",11,737.8,765,82,"Wind blowing from the east",6,NA,"","","No Significant Clouds","10.0 and more",8,"0","0","0","0",0,0
"951","2014-02-06 07:00:00",11,737.8,765,77,"Wind blowing from the east",5,NA,"","","No Significant Clouds","10.0 and more",7,"0","0","0","0",0,0
"952","2014-02-06 08:00:00",11,738.6,765.8,72,"Wind blowing from the east",6,NA,"","","No Significant Clouds","10.0 and more",6,"0","0","0","0",0,0
"953","2014-02-06 09:00:00",14,738.9,765.8,67,"Wind blowing from the east",5,NA,"","","No Significant Clouds","10.0 and more",8,"0","0","0","0",0,0
"954","2014-02-06 10:00:00",18,739.2,765.8,52,"Wind blowing from the east",5,NA,"","","No Significant Clouds","10.0 and more",8,"0","0","0","0",0,0
"955","2014-02-06 11:00:00",22,739.6,765.8,31,"Wind blowing from the east",2,NA,"","","No Significant Clouds","10.0 and more",4,"0","0","0","0",0,0
"956","2014-02-06 12:00:00",22,739.6,765.8,41,"Wind blowing from the west-northwest",3,NA,"","","No Significant Clouds","10.0 and more",8,"0","0","0","0",0,0
"957","2014-02-06 13:00:00",22,738.8,765,31,"Wind blowing from the west-northwest",5,NA,"","","No Significant Clouds","10.0 and more",4,"0","0","0","0",0,0
"958","2014-02-06 14:00:00",21,738.7,765,38,"Wind blowing from the west-northwest",7,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",6,"480","0","0","0",0,0
"959","2014-02-06 15:00:00",21,738.7,765,38,"Wind blowing from the west-northwest",4,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",6,"480","0","0","0",0,0
"960","2014-02-06 16:00:00",20,738.6,765,49,"Wind blowing from the north-west",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"961","2014-02-06 17:00:00",19,738.5,765,52,"Wind blowing from the west-northwest",4,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"962","2014-02-07 06:00:00",13,739.5,766.6,82,"Calm, no wind",0,NA,"","","Few clouds (10-30%) 600 m","10.0 and more",10,"600","0","0","0",0,0
"963","2014-02-07 07:00:00",12,739.4,766.6,82,"Wind blowing from the south-west",2,NA,"","","Broken clouds (60-90%) 600 m","10.0 and more",9,"0","0","600","0",0,0
"964","2014-02-07 08:00:00",13,740.2,767.3,82,"Wind blowing from the south-west",1,NA,"","","Broken clouds (60-90%) 600 m","10.0 and more",10,"0","0","600","0",0,0
"965","2014-02-07 10:00:00",16,740.5,767.3,68,"Wind blowing from the west-northwest",2,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",10,"0","480","0","0",0,0
"966","2014-02-07 11:00:00",18,740,766.6,60,"Wind blowing from the north-west",3,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"967","2014-02-07 12:00:00",19,739.3,765.8,49,"Wind blowing from the north-northwest",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"968","2014-02-07 13:00:00",20,738.6,765,53,"Wind blowing from the north-northwest",4,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"969","2014-02-07 14:00:00",20,738.6,765,49,"Wind blowing from the north",7,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"970","2014-02-07 15:00:00",20,738,764.3,46,"Wind blowing from the north",7,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"971","2014-02-07 16:00:00",20,738,764.3,46,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"972","2014-02-07 17:00:00",20,738,764.3,49,"Wind blowing from the north",5,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"973","2014-02-07 18:00:00",17,738.4,765,64,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"974","2014-02-07 18:10:00",17,738.4,765,64,"Wind blowing from the north",6,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"975","2014-02-08 06:00:00",8,739.7,767.3,82,"Wind blowing from the east",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",5,"480","0","0","0",0,0
"976","2014-02-08 07:00:00",7,740.4,768.1,87,"Calm, no wind",0,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",5,"480","0","0","0",0,0
"977","2014-02-08 08:00:00",7,740.4,768.1,93,"Wind blowing from the east",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",6,"480","0","0","0",0,0
"978","2014-02-08 09:00:00",11,740.8,768.1,88,"Calm, no wind",0,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"979","2014-02-08 10:00:00",13,741,768.1,77,"Wind blowing from the west",2,NA,"","","Few clouds (10-30%) 480 m, scattered clouds (40-50%) 6000 m","10.0 and more",9,"480","6000","0","0",0,0
"980","2014-02-08 11:00:00",15,741.2,768.1,72,"Wind blowing from the west-southwest",1,NA,"","","Few clouds (10-30%) 480 m, scattered clouds (40-50%) 6000 m","10.0 and more",10,"480","6000","0","0",0,0
"981","2014-02-08 12:00:00",16,740.5,767.3,63,"Wind blowing from the west",3,NA,"","","No Significant Clouds","10.0 and more",9,"0","0","0","0",0,0
"982","2014-02-08 13:00:00",18,740,766.6,56,"Wind blowing from the west",2,NA,"","","No Significant Clouds","10.0 and more",9,"0","0","0","0",0,0
"983","2014-02-08 14:00:00",19,739.3,765.8,56,"Wind blowing from the west-southwest",3,NA,"","","No Significant Clouds","10.0 and more",10,"0","0","0","0",0,0
"984","2014-02-08 15:00:00",19,738.5,765,60,"Wind blowing from the west",5,NA,"","","No Significant Clouds","10.0 and more",11,"0","0","0","0",0,0
"985","2014-02-08 16:00:00",19,737.9,764.3,60,"Wind blowing from the west",6,NA,"","","No Significant Clouds","10.0 and more",11,"0","0","0","0",0,0
"986","2014-02-08 17:00:00",21,738,764.3,53,"Wind blowing from the north-northwest",6,NA,"","","No Significant Clouds","10.0 and more",11,"0","0","0","0",0,0
"987","2014-02-08 18:00:00",17,738.4,765,68,"Wind blowing from the north",6,NA,"","","No Significant Clouds","10.0 and more",11,"0","0","0","0",0,0
"988","2014-02-09 06:00:00",7,738.2,765.8,81,"Wind blowing from the east",3,NA,"","","No Significant Clouds","10.0 and more",4,"0","0","0","0",0,0
"989","2014-02-09 07:00:00",7,NA,NA,NA,"Wind blowing from the east",1,NA,"","","No Significant Clouds","10.0 and more",NA,"0","0","0","0",0,0
"990","2014-02-09 08:00:00",6,738.9,766.6,87,"Wind blowing from the east",2,NA,"","","Few clouds (10-30%) 480 m, scattered clouds (40-50%) 6000 m","10.0 and more",4,"480","6000","0","0",0,0
"991","2014-02-09 09:00:00",11,739.4,766.6,82,"Wind blowing from the south",1,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"992","2014-02-09 10:00:00",12,739.4,766.6,82,"Wind blowing from the west-southwest",1,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"993","2014-02-09 11:00:00",14,739.6,766.6,77,"Wind blowing from the south-west",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",10,"480","0","0","0",0,0
"994","2014-02-09 12:00:00",16,739,765.8,63,"Wind blowing from the west",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"995","2014-02-09 13:00:00",18,738.5,765,52,"Wind blowing from the north-west",2,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"996","2014-02-09 14:00:00",19,737.9,764.3,43,"Wind blowing from the north-west",3,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",6,"480","0","0","0",0,0
"997","2014-02-09 15:00:00",19,737.1,763.5,46,"Wind blowing from the north",7,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",7,"480","0","0","0",0,0
"998","2014-02-09 16:00:00",19,737.1,763.5,49,"Wind blowing from the north",8,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",8,"480","0","0","0",0,0
"999","2014-02-09 17:00:00",17,736.9,763.5,59,"Wind blowing from the north",8,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"1000","2014-02-09 18:00:00",16,737.6,764.3,63,"Wind blowing from the north",8,NA,"","","Few clouds (10-30%) 480 m","10.0 and more",9,"480","0","0","0",0,0
"1001","2014-02-10 06:00:00",13,738,765,94,"Wind blowing from the north-northwest",3,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",12,"0","480","0","0",0,0
"1002","2014-02-10 07:00:00",15,739,765.8,82,"Wind blowing from the north-northeast",7,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",12,"0","0","480","0",0,0
"1003","2014-02-10 08:00:00",14,738.9,765.8,88,"Wind blowing from the north",7,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",12,"0","0","480","0",0,0
"1004","2014-02-10 09:00:00",15,739,765.8,77,"Wind blowing from the north",6,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",11,"0","0","480","0",0,0
"1005","2014-02-10 10:00:00",16,739.8,766.6,63,"Wind blowing from the north",8,NA,"","","Broken clouds (60-90%) 480 m","10.0 and more",9,"0","0","480","0",0,0
"1006","2014-02-10 11:00:00",17,740.6,767.3,52,"Wind blowing from the north-northeast",8,NA,"","","Scattered clouds (40-50%) 480 m","10.0 and more",7,"0","480","0","0",0,0
"1007","2014-02-10 12:00:00",17,739.1,765.8,42,"Wind blowing from the north-northeast",6,NA,"","","Few clouds (10-30%) 480 m, scattered clouds (40-50%) 6000 m","10.0 and more",4,"480","6000","0","0",0,0
