Local time in Sidi Ifni,T,Po,P,Pa,U,DD,Ff,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
7/26/14 15:00,22.6,756.7,761.8,-0.4,74,Wind blowing from the north-northeast,4,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,17.7,,,,,,
7/26/14 18:00,21.6,757.1,762.2,0.4,80,Wind blowing from the north-northeast,2,20-30%, ,,,,23.2,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,18,,,,,,
7/27/14 6:00,20.1,758,763.1,,89,Wind blowing from the north-northeast,1,100%, ,,,20.1,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,10,18.3,,,,,,
7/27/14 9:00,20.3,758.8,763.9,0.8,83,Wind blowing from the north-west,2,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,8,17.3,,,,,,
7/27/14 12:00,22.5,758.7,763.8,-0.1,74,Wind blowing from the west,3,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,17.6,,,,,,
7/27/14 15:00,21.5,758.4,763.5,-0.3,80,Wind blowing from the north-northeast,2,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,17.8,,,,,,
7/27/14 18:00,22.3,758.2,763.3,-0.2,73,Wind blowing from the north-northeast,5,no clouds, ,,,,22.7,,,,,,10,17.2,,,,,,
7/28/14 6:00,20.2,758.2,763.3,,86,"Calm, no wind",0,100%, ,,,20.1,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6,17.7,,,,,,
7/28/14 9:00,20.7,758.5,763.6,0.3,85,Wind blowing from the west,2,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,7,18,,,,,,
7/28/14 12:00,22.2,758.5,763.6,0,77,Wind blowing from the west-northwest,4,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,18,,,,,,
7/28/14 15:00,22,758.5,763.6,0,79,Wind blowing from the north-northeast,5,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,18.1,,,,,,
7/28/14 18:00,22.9,758.2,763.3,-0.3,76,Wind blowing from the north-northeast,7,no clouds, ,,,,23.5,,,,,,7,18.4,,,,,,
7/29/14 6:00,19.9,756.7,761.8,,89,Wind blowing from the north-northeast,2,100%, ,,,19.9,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,8,18.1,,,,,,
7/29/14 9:00,20,757.3,762.4,0.6,87,Wind blowing from the north,2,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,8,17.7,,,,,,
7/29/14 12:00,21.7,757,762.1,-0.3,80,Wind blowing from the north,3,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,7,18.1,,,,,,
7/29/14 15:00,22,755.9,761,-1.1,80,Wind blowing from the north,3,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.3,,,,,,
7/29/14 18:00,22,754.6,759.7,-1.3,80,Wind blowing from the north-east,7,no clouds, ,,,,22.2,,,,,,7,18.3,,,,,,
7/30/14 6:00,20.3,755.7,760.8,,86,Wind blowing from the north-east,3,100%, ,,,20.2,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,7,17.8,,,,,,
7/30/14 9:00,20.6,756.3,761.4,0.6,84,,,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,7,17.7,,,,,,
7/30/14 12:00,23.2,755.9,761,-0.4,73,Wind blowing from the north-east,4,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,18.1,,,,,,
7/30/14 15:00,22.7,755.7,760.8,-0.2,73,Wind blowing from the north-northeast,4,no clouds, ,,,,,,,,,,7,17.7,,,,,,
7/30/14 18:00,21.8,755.8,760.9,0.1,77,Wind blowing from the north-northeast,4,no clouds, ,,,,23.4,,,,,,7,17.6,,,,,,
7/31/14 6:00,19.8,757,762.1,,83,Wind blowing from the north-east,2,100%, ,,,19.7,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,10,16.8,,,,,,
7/31/14 9:00,19.5,757.9,763,0.9,87,Wind blowing from the north-east,2,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,10,17.3,,,,,,
7/31/14 12:00,22.3,758.2,763.3,0.3,72,Wind blowing from the north-northeast,4,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,16.9,,,,,,
7/31/14 15:00,22.4,757.9,763,-0.3,74,Wind blowing from the north-northeast,4,no clouds, ,,,,,,,,,,10,17.5,,,,,,
7/31/14 18:00,22,757.9,763,0,79,Wind blowing from the north-northeast,4,"10%  or less, but not 0", ,,,,22.6,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,18.1,,,,,,
8/1/14 6:00,19.6,759,764.2,,87,Wind blowing from the north-east,4,100%, ,,,19.5,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,8,17.4,,,,,,
8/1/14 9:00,20.2,759,764.1,0,85,Wind blowing from the north-east,4,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,8,17.6,,,,,,
8/1/14 12:00,22.4,759.3,764.4,0.3,72,Wind blowing from the north-northeast,3,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,17,,,,,,
8/1/14 15:00,22.7,758.3,763.4,-1,67,Wind blowing from the north-northeast,4,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,16.3,,,,,,
8/1/14 18:00,22,757.7,762.8,-0.6,72,Wind blowing from the north-northeast,5,"10%  or less, but not 0", ,,,,23,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,16.7,,,,,,
8/2/14 6:00,19.5,755.5,760.6,,88,Wind blowing from the north-northeast,3,70 - 80%, ,,,19.4,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,17.5,,,,,,
8/2/14 9:00,20.2,755.7,760.8,0.2,84,Wind blowing from the north-northeast,2,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,17.4,,,,,,
8/2/14 12:00,22.7,755.5,760.6,-0.2,73,Wind blowing from the north,3,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,17.5,,,,,,
8/2/14 15:00,23.1,755,760.1,-0.5,68,Wind blowing from the north-northeast,4,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,16.9,,,,,,
8/2/14 18:00,22.4,754.6,759.7,-0.4,71,Wind blowing from the north-northeast,5,70 - 80%, ,,,,23.2,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,16.8,,,,,,
8/3/14 6:00,19.5,753.6,758.7,,87,Wind blowing from the west-southwest,3,100%, ,,,19.2,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,7,17.3,,,,,,
8/3/14 9:00,21,754.5,759.6,0.9,78,Wind blowing from the west-southwest,5,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,7,17,,,,,,
8/3/14 12:00,22.5,754.7,759.8,0.2,74,Wind blowing from the west-southwest,5,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,17.6,,,,,,
8/3/14 15:00,22.9,754.7,759.8,0,71,Wind blowing from the west,4,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,17.4,,,,,,
8/3/14 18:00,22.2,754.7,759.8,0,73,Wind blowing from the north-northeast,3,"10%  or less, but not 0", ,,,,23.1,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,17,,,,,,
8/4/14 6:00,20,755.6,760.7,,91,Wind blowing from the west-southwest,3,100%, ,,,20,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,10,18.4,,,,,,
8/4/14 9:00,20.5,756.5,761.6,0.9,86,Wind blowing from the west-southwest,4,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,18,,,,,,
8/4/14 12:00,22.2,757.2,762.3,0.7,78,Wind blowing from the west-southwest,4,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,18.2,,,,,,
8/4/14 15:00,22.5,756.5,761.6,-0.7,78,Wind blowing from the north-northwest,3,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,18.5,,,,,,
8/4/14 18:00,21.6,756.4,761.5,-0.1,80,Wind blowing from the north-east,7,no clouds, ,,,,22.7,,,,,,8,18,,,,,,
8/5/14 6:00,19.6,756.4,761.5,,90,Wind blowing from the south-west,3,20-30%, ,,,19.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6,17.9,,,,,,
8/5/14 9:00,20.2,757,762.1,0.6,88,Wind blowing from the west-southwest,4,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.1,,,,,,
8/5/14 12:00,22.1,757.9,763,0.9,79,Wind blowing from the west-southwest,4,no clouds, ,,,,,,,,,,6,18.3,,,,,,
8/5/14 15:00,22.5,757.3,762.4,-0.6,77,Wind blowing from the west-southwest,6,no clouds, ,,,,,,,,,,6,18.2,,,,,,
8/5/14 18:00,22,757.3,762.4,0,80,Wind blowing from the west,3,60%, ,,,,23.2,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.3,,,,,,
8/6/14 6:00,20.2,757.2,762.3,,93,Wind blowing from the south-west,4,100%, ,,,20,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5,19,,,,,,
8/6/14 9:00,20.8,757.5,762.6,0.3,91,Wind blowing from the west-southwest,4,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,5,19.3,,,,,,
8/6/14 12:00,21.3,757.4,762.5,-0.1,85,Wind blowing from the west,4,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5,18.7,,,,,,
8/6/14 15:00,22,756.7,761.8,-0.7,83,Wind blowing from the north-northwest,2,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",5,19,,,,,,
8/6/14 18:00,21.8,756.7,761.8,0,81,Wind blowing from the north-east,3,20-30%, ,,,,22.2,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.4,,,,,,
8/7/14 6:00,19.2,755.8,760.9,,95,Wind blowing from the south-west,4,100%,Mist. ,,,19.1,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4,18.3,,,,,,
8/7/14 9:00,19.8,755.9,761,0.1,92,Wind blowing from the west-southwest,5,100%,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4.5,18.5,,,,,,
8/7/14 12:00,21.5,756.3,761.4,0.4,81,Wind blowing from the south-west,7,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.1,,,,,,
8/7/14 15:00,21.6,755.5,760.6,-0.8,81,Wind blowing from the west,3,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.2,,,,,,
8/7/14 18:00,21.5,755.6,760.7,0.1,82,Wind blowing from the north-northeast,3,100%, ,,,,22.1,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6,18.3,,,,,,
8/8/14 6:00,18.6,754.6,759.7,,98,Wind blowing from the south-southwest,2,100%,Mist. ,,,18.5,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,2.5,18.2,,,,,,
8/8/14 9:00,19,755.2,760.3,0.6,94,Wind blowing from the west,3,100%,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,3.5,18,,,,,,
8/8/14 12:00,20.7,754.7,759.8,-0.5,84,Wind blowing from the west,4,100%,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,4,17.9,,,,,,
8/8/14 15:00,21.7,754.6,759.7,-0.1,80,Wind blowing from the north,3,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.1,,,,,,
8/8/14 18:00,22,754.5,759.6,-0.1,80,Wind blowing from the north-northeast,4,"90  or more, but not 100%", ,,,,22.2,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6,18.3,,,,,,
8/9/14 6:00,17.5,753.6,758.8,,98,Wind blowing from the south-west,3,100%,Mist. ,,,17.3,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4,17.1,0.6,24,,,,
8/9/14 9:00,18.7,754.1,759.2,0.5,95,Wind blowing from the south-west,4,100%,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4,17.8,,,,,,
8/9/14 12:00,21,754.9,760,0.8,90,Wind blowing from the west,4,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5,19.3,,,,,,
8/9/14 15:00,22.3,754.5,759.6,-0.4,79,Wind blowing from the north-northwest,3,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.5,,,,,,
8/9/14 18:00,22,754.4,759.5,-0.1,79,Wind blowing from the north-northeast,3,"10%  or less, but not 0", ,,,,22.9,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.1,,,,,,
8/10/14 6:00,18.7,755.2,760.3,,95,Wind blowing from the west-southwest,6,100%, ,,,18.6,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6,17.8,,,,,,
8/10/14 9:00,20.5,756,761.1,0.8,87,Wind blowing from the west-southwest,3,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,7,18.2,,,,,,
8/10/14 12:00,22.3,756.6,761.7,0.6,80,Wind blowing from the west,3,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,18.6,,,,,,
8/10/14 15:00,22.4,756.1,761.2,-0.5,79,Wind blowing from the west-southwest,3,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6,18.6,,,,,,
8/10/14 18:00,20.4,756.2,761.3,0.1,87,Wind blowing from the north-northeast,2,40%, ,,,,22.8,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.1,,,,,,
8/11/14 6:00,19.5,756.7,761.8,,94,Wind blowing from the west-southwest,5,100%, ,,,19.5,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6,18.5,,,,,,
8/11/14 9:00,19.9,757,762.1,0.3,93,Wind blowing from the west-southwest,4,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6,18.7,,,,,,
8/11/14 12:00,21.5,757.8,762.9,0.8,82,Wind blowing from the west,4,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6,18.3,,,,,,
8/11/14 15:00,21.7,757.3,762.4,-0.5,84,Wind blowing from the west-southwest,4,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6,18.8,,,,,,
8/11/14 18:00,21.1,757.3,762.4,0,81,Wind blowing from the north-northeast,2,no clouds, ,,,,22,,,,,,7,17.7,,,,,,
8/12/14 6:00,18.8,755.7,760.8,,98,Wind blowing from the south-southwest,4,100%,Mist. ,,,18.8,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4,18.4,,,,,,
8/12/14 9:00,19.1,756.4,761.5,0.7,97,Wind blowing from the south-west,3,100%,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4.5,18.6,,,,,,
8/12/14 12:00,20.9,756.6,761.7,0.2,86,Wind blowing from the west-northwest,3,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,18.5,,,,,,
8/12/14 15:00,22.4,756.1,761.2,-0.5,78,Wind blowing from the west-southwest,4,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.3,,,,,,
8/12/14 18:00,21.1,755.8,760.9,-0.3,80,Wind blowing from the north-east,5,"10%  or less, but not 0", ,,,,22.7,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,17.5,,,,,,
8/13/14 6:00,18.7,754.6,759.7,,94,Wind blowing from the south-southwest,2,100%, ,,,18.7,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,17.7,,,,,,
8/13/14 9:00,19.6,755,760.1,0.4,88,Wind blowing from the west-southwest,4,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",5,17.6,,,,,,
8/13/14 12:00,22.8,754.9,760,-0.1,79,Wind blowing from the west-southwest,5,no clouds, ,,,,,,,,,,5,18.9,,,,,,
8/13/14 15:00,21.9,754.7,759.8,-0.2,78,Wind blowing from the west-southwest,3,no clouds, ,,,,,,,,,,6,17.9,,,,,,
8/13/14 18:00,21.4,754,759.1,-0.7,82,Wind blowing from the west-northwest,3,70 - 80%, ,,,,23,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,18.2,,,,,,
8/14/14 6:00,18.7,753.7,758.8,,95,"Calm, no wind",0,100%, ,,,18.7,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,17.8,,,,,,
8/14/14 9:00,19.7,754.2,759.3,0.5,90,Wind blowing from the north-east,3,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5,18,,,,,,
8/14/14 12:00,21.3,754.8,759.9,0.6,83,Wind blowing from the west,4,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6,18.2,,,,,,
8/14/14 15:00,20.8,754.3,759.4,-0.5,85,Wind blowing from the north-west,3,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6,18.2,,,,,,
8/14/14 18:00,21.1,754.4,759.5,0.1,82,Wind blowing from the north-northeast,2,20-30%, ,,,,22.4,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,17.8,,,,,,
8/15/14 6:00,18.8,754.3,759.4,,92,Wind blowing from the south-west,4,100%, ,,,18.6,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,17.4,,,,,,
8/15/14 9:00,19.6,755,760.1,0.7,88,Wind blowing from the west,3,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,17.6,,,,,,
8/15/14 12:00,20.8,755.7,760.8,0.7,80,Wind blowing from the west-southwest,5,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,17.3,,,,,,
8/15/14 15:00,21.5,755.5,760.6,-0.2,78,Wind blowing from the west,6,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,17.4,,,,,,
8/15/14 18:00,20.6,755.1,760.2,-0.4,76,Wind blowing from the west-northwest,2,60%, ,,,,21.9,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,16.3,,,,,,
8/16/14 6:00,19.2,754.1,759.2,,93,Wind blowing from the north-east,2,100%, ,,,19,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,18,,,,,,
8/16/14 9:00,19.6,754.6,759.7,0.5,88,Wind blowing from the west-southwest,3,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,17.6,,,,,,
8/16/14 12:00,20.8,754.7,759.8,0.1,84,Wind blowing from the west-southwest,6,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5,17.9,,,,,,
8/16/14 15:00,22,753.7,758.8,-1,76,Wind blowing from the west-southwest,6,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,17.6,,,,,,
8/16/14 18:00,20,753.7,758.8,0,88,Wind blowing from the west-southwest,4,100%, ,,,,22.5,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,18,,,,,,
8/17/14 6:00,19.5,753.4,758.5,,95,Wind blowing from the west,4,100%, ,,,19.3,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,18.7,,,,,,
8/17/14 9:00,19,754.1,759.2,0.7,96,Wind blowing from the west-southwest,2,100%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,18.4,,,,,,
8/17/14 12:00,21,754.5,759.6,0.4,86,Wind blowing from the north-northwest,4,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,6,18.5,,,,,,
8/17/14 15:00,21.5,754,759.1,-0.5,82,Wind blowing from the west,3,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,7,18.3,,,,,,
8/17/14 18:00,20.5,753.9,759,-0.1,86,Wind blowing from the north-northeast,4,100%, ,,,,22.2,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,7,18.1,,,,,,
8/18/14 6:00,19.6,754,759.1,,95,Wind blowing from the north-northeast,2,100%, ,,,19.2,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,18.8,,,,,,
8/18/14 9:00,19.9,755.1,760.2,1.1,95,Wind blowing from the north-east,4,100%,Mist. ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,4,19.1,,,,,,
8/18/14 12:00,22.5,755.4,760.5,0.3,75,Wind blowing from the north-east,5,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,17.9,,,,,,
